"id","poj_unicode","poj_input","kiplmj_unicode","kiplmj_input","hanlo_taibun_poj","hanlo_taibun_kip","hoabun","from"
"41","Má-chó͘-chheⁿ/Má-chó͘-chhiⁿ","Ma2-choo2-chhenn/Ma2-choo2-chhinn","Má-tsóo-tshenn/Má-tsóo-tshinn","Ma2-tsoo2-tshenn/Ma2-tsoo2-tshinn","媽祖星","媽祖星","海王星","匿名"
"42","Thiⁿ-kong-chheⁿ/Thiⁿ-kong-chhiⁿ","Thinn-kong-chhenn/Thinn-kong-chhinn","Thinn-kong-tshenn/Thinn-kong-tshinn","Thinn-kong-tshenn/Thinn-kong-tshinn","天公星","天公星","天王星","匿名"
"43","thâu-chêng","thau5-cheng5","thâu-tsîng","thau5-tsing5","頭前","頭前","前面的","匿名"
"44","āu-bīn","au7-bin7","āu-bīn","au7-bin7","後面","後面","後面的","Ellen Post"
"45","góa ē-hiáu kóng","goa2 e7-hiau2 kong2","guá ē-hiáu kóng","gua2 e7-hiau2 kong2","我會曉講","我會曉講","我會說","匿名"
"46","phi̍h-phi̍h-chhoah","phih8-phih8-chhoah","phi̍h-phi̍h-tshuah","phih8-phih8-tshuah","咇咇掣","咇咇掣","顫抖","匿名"
"47","siān-tauh-tauh","sian7-tauh-tauh","siān-tauh-tauh","sian7-tauh-tauh","𤺪篤篤","𤺪篤篤","疲倦","匿名"
"48","e-phi-phi","e-phi-phi","e-phi-phi","e-phi-phi","APP","APP","手機應用程式","匿名"
"49","chúi-sò͘","chui2-soo3","tsúi-sòo","tsui2-soo3","水素","水素","氫","匿名"
"50","jı̍t-sò͘","jı̍t-soo3","jı̍t-sòo","jı̍t-soo3","日素","日素","氦","匿名"
"51","tiⁿ-sò͘","tinn-soo3","tinn-sòo","tinn-soo3","甜素","甜素","鈹","匿名"
"52","khó͘-sò͘","khoo2-soo3","khóo-sòo","khoo2-soo3","苦素","苦素","鎂","匿名"
"53","lí hó","li2 ho2","lí hó","li2 ho2","你好","你好","你好","匿名"
"54","iâm-sò͘","iam5-soo3","iâm-sòo","iam5-soo3","鹽素","鹽素","氯","匿名"
"55","chhàu-sò͘","chhau3-soo3","tshàu-sòo","tshau3-soo3","臭素","臭素","溴","匿名"
"56","kha-thâu-u","kha-thau5-u","kha-thâu-u","kha-thau5-u","跤頭趺","跤頭趺","膝","匿名"
"57","phah chhia-phiò","phah chhia-phio3","phah tshia-phiò","phah tshia-phio3","拍車票","拍車票","買車票","匿名"
"58","han-chî-hio̍h","han-chi5-hioh8","han-tsî-hio̍h","han-tsi5-hioh8","番薯葉","番薯葉","地瓜葉","匿名"
"59","mî-nōa","mi5-noa7","mî-nuā","mi5-nua7","綿爛","綿爛","熱衷","Morrison Iûnn"
"60","chhiah-ia̍h","chhiah-iah8","tshiah-ia̍h","tshiah-iah8","刺疫","刺疫","討厭","Van  Lai"
"61","kòe-kau-chhài/kè-kau-chhài","koe3-kau-chhai3/ke3-kau-chhai3","kuè-kau-tshài/kè-kau-tshài","kue3-kau-tshai3/ke3-kau-tshai3","過溝菜","過溝菜","地瓜葉","Morrison Iûnn"
"62","o͘-chhiⁿ/o͘-chheⁿ","oo-chhinn/oo-chhenn","oo-tshinn/oo-tshenn","oo-tshinn/oo-tshenn","烏青","烏青","瘀傷","Morrison Iûnn"
"63","lí hó","lí hó","lí hó","lí hó","你好","你好","妳好","游威力"
"64","chhoah sái","chhoah sai2","tshuah sái","tshuah sai2","疶屎","疶屎","拉屎","匿名"
"65","iu-iû-khah","iu-iû-khah","iu-iû-khah","iu-iû-khah","悠遊卡","悠遊卡","悠遊卡","游威力"
"66","tu̍h-lān","tuh8-lan7","tu̍h-lān","tuh8-lan7","揬𡳞","揬𡳞","討厭","匿名"
"67","pháng-kauh","phang2-kauh","pháng-kauh","phang2-kauh","麭𩛩","麭𩛩","三明治","匿名"
"68","giâ-nn̄g/gô-nn̄g","gia5-nng7/go5-nng7","giâ-nn̄g/gô-nn̄g","gia5-nng7/go5-nng7","鵝卵","鵝卵","巨蛋","Khóo Ka-ióng"
"69","Bí-kok-koah-pau","Bi2-kok-koah-pau","Bí-kok-kuah-pau","Bi2-kok-kuah-pau","美國割包","美國割包","漢堡","Khóo Ka-ióng"
"70","Tâi-oân","Tai5-oan5","Tâi-uân","Tai5-uan5","臺灣","臺灣","台灣","David Kang"
"71","kàn-lín-niâ","kan3-lin2-nia5","kàn-lín-niâ","kan3-lin2-nia5","姦恁娘","姦恁娘","幹你娘","David Kang"
"72","kâu-sí-gín-á","kau5-sí-gín-á","kâu-sí-gín-á","kau5-sí-gín-á","猴死囡仔","猴死囡仔","小屁孩","David Kang"
"73","kâu-sí-gín-á","kau5-sí-gín-á","kâu-sí-gín-á","kau5-sí-gín-á","猴死囡仔","猴死囡仔","死小孩","David Kang"
"74","táⁿ-kiap","tánn-kiap","tánn-kiap","tánn-kiap","打劫","打劫","打劫","游威力"
"75","han-chî-hio̍h-á/han-chû-hio̍h-á","han-chi5-hioh8-á/han-chû-hioh8-á","han-tsî-hio̍h-á/han-tsû-hio̍h-á","han-tsi5-hioh8-á/han-tsû-hioh8-á","番薯葉仔","番薯葉仔","地瓜葉","游威力"
"76","se-chng/soe-chng","se-chng/soe-chng","se-tsng/sue-tsng","se-tsng/sue-tsng","梳妝","梳妝","梳妝","游威力"
"77","ún-hîng-ba̍k-kiàⁿ","un2-hîng-bak8-kiànn","ún-hîng-ba̍k-kiànn","un2-hîng-bak8-kiànn","隱形目鏡","隱形目鏡","隱形眼鏡","游威力"
"78","lí kóng--leh","lí kóng--leh","lí kóng--leh","lí kóng--leh","你講咧","你講咧","你說咧","游威力"
"79","sàng-sòo","sang3-sòo","sàng-sòo","sang3-sòo","酸素","酸素","氧氣","游威力"
"80","ē-po͘-tê/e-po͘-tê","e7-poo-tê/e-poo-tê","ē-poo-tê/e-poo-tê","e7-poo-tê/e-poo-tê","下晡茶","下晡茶","下午茶","游威力"
"81","kha-chhiú chiān","kha-chhiu2 chian7","kha-tshiú tsiān","kha-tshiu2 tsian7","跤手賤","跤手賤","手腳不乾淨","匿名"
"82","koah chhia-toaⁿ","koah chhia-toann","kuah tshia-tuann","kuah tshia-tuann","割車單","割車單","買車票","匿名"
"83","koe-á-chhiu","koe-a2-chhiu","kue-á-tshiu","kue-a2-tshiu","瓜仔鬚","瓜仔鬚","龍鬚菜","匿名"
"84","kái-piⁿ","kai2-pinn","kái-pinn","kai2-pinn","骱邊","骱邊","鼠蹊溝","匿名"
"85","tio̍h--bô","tioh8--bo5","tio̍h--bô","tioh8--bo5","著無","著無","對不對","匿名"
"86","sé-bīn-chō/sóe-bīn-chō","se2-bin7-cho7/soe2-bin7-cho7","sé-bīn-tsō/sué-bīn-tsō","se2-bin7-tso7/sue2-bin7-tso7","洗面皂","洗面皂","洗面乳","匿名"
"87","sé-bīn--ê/sóe-bīn--ê","se2-bin7--e5/soe2-bin7--ê","sé-bīn--ê/sué-bīn--ê","se2-bin7--e5/sue2-bin7--ê","洗面的","洗面的","洗面乳","匿名"
"88","han-chî-hio̍h/han-chû-hio̍h","han-chi5-hioh8/han-chu5-hioh8","han-tsî-hio̍h/han-tsû-hio̍h","han-tsi5-hioh8/han-tsu5-hioh8","番薯葉","番薯葉","地瓜葉","匿名"
"89","ti-chhài","ti-chhai3","ti-tshài","ti-tshai3","豬菜","豬菜","地瓜葉","匿名"
"90","hóe-sio-sim","hoe2-sio-sim","hué-sio-sim","hue2-sio-sim","火燒心","火燒心","心灼痛","匿名"
"91","khàu-iau","khau3-iau","khàu-iau","khau3-iau","哭枵","哭枵","靠夭","匿名"
"92","chhut-seng ji̍t-kî","chhut-seng jit8-ki5","tshut-sing ji̍t-kî","tshut-sing jit8-ki5","出生日期","出生日期","出生日期","匿名"
"93","gêng-hoeh/gêng-huih","geng5-hoeh/geng5-huih","gîng-hueh/gîng-huih","ging5-hueh/ging5-huih","凝血","凝血","凝血","匿名"
"94","ba̍k-chhái","bak8-chhai2","ba̍k-tshái","bak8-tshai2","目彩","目彩","眼影","匿名"
"95","bàng-gah/bàng-kah","bang3-gah/bang3-kah","bàng-gah/bàng-kah","bang3-gah/bang3-kah","漫畫","漫畫","卡通","Khóo Ka-ióng"
"96","bīn-chu/bīn-chṳ","bin7-chu/bin7-chur","bīn-tsu/bīn-tsir","bin7-tsu/bin7-tsir","面書","面書","FB","Khóo Ka-ióng"
"97","chhut-sì-nî-goe̍h/chhut-sì-nî-ge̍h","chhut-si3-ni5-goeh8/chhut-si3-ni5-geh8","tshut-sì-nî-gue̍h/tshut-sì-nî-ge̍h","tshut-si3-ni5-gueh8/tshut-si3-ni5-geh8","出世年月","出世年月","出生日期","費加洛"
"98","chheh-hêng tiān-náu","chheh-heng5 tian7-nau2","tsheh-hîng tiān-náu","tsheh-hing5 tian7-nau2","冊型電腦","冊型電腦","筆記型電腦","費加洛"
"99","tah-ba̍k-kiàⁿ-jîn","tah-bak8-kiann3-jin5","tah-ba̍k-kiànn-jîn","tah-bak8-kiann3-jin5","貼目鏡仁","貼目鏡仁","隱形眼鏡","費加洛"
"100","chian-chúi-kiáu","chian-chui2-kiau2","tsian-tsuí-kiáu","tsian-tsui2-kiau2","煎水餃","煎水餃","煎水餃","Ki-seng Lim"
"101","té-kûn","te2-kun5","té-kûn","te2-kun5","短裙","短裙","短裙","匿名"
"102","Thài-pêng-tó͘","Thai3-peng5-too2","Thài-pîng-tóo","Thai3-ping5-too2","太平島","太平島","太平島","匿名"
"103","chhiau-kip-chhī-tiûⁿ","chhiau-kip-chhi7-tiunn5","tshiau-kip-tshī-tiûnn","tshiau-kip-tshi7-tiunn5","超級市場","超級市場","超級市場","匿名"
"104","liông-kut-chhóe/liông-kut-chhé","liong5-kut-chhoe2/liong5-kut-chhe2","liông-kut-tshué/liông-kut-tshé","liong5-kut-tshue2/liong5-kut-tshe2","龍骨髓","龍骨髓","脊髓","匿名"
"105","To-lá-é-bōng","To-la2-e2-bong7","To-lá-é-bōng","To-la2-e2-bong7","哆啦A夢","哆啦A夢","哆啦A夢","莊銘彥"
"106","án-chóaⁿ kóng","an2-choann2 kong2","án-tsuánn kóng","an2-tsuann2 kong2","按怎講","按怎講","怎樣講","匿名"
"107","tō͘-chiam","too7-chiam","tōo-tsiam","too7-tsiam","度針","度針","體溫計","匿名"
"108","thâu-khak","thau5-khak","thâu-khak","thau5-khak","頭殼","頭殼","腦袋","匿名"
"109","pēⁿ-kiáⁿ/pīⁿ-kiáⁿ","penn7-kiann2/pinn7-kiann2","pēnn-kiánn/pīnn-kiánn","penn7-kiann2/pinn7-kiann2","病囝","病囝","害喜","匿名"
"110","bān-chhiáⁿ-sī/bān-chhiáⁿ-ī","ban7-chhiann2-si7/ban7-chhiann2-ī","bān-tshiánn-sī/bān-tshiánn-ī","ban7-tshiann2-si7/ban7-tshiann2-ī","慢且是","慢且是","慢一點","匿名"
"111","chah-sin-ji̍p-tiān-a̍p","chah-sin-jip8-tian7-ap8","tsah-sin-ji̍p-tiān-a̍p","tsah-sin-jip8-tian7-ap8","紮身入電盒","紮身入電盒","行動電源","費加洛"
"112","kâu-gín-á","kau5-gin2-á","kâu-gín-á","kau5-gin2-á","猴囡仔","猴囡仔","小屁孩","匿名"
"113","Lí sī siáng","Li2 si7 siang2","Lí sī siáng","Li2 si7 siang2","你是啥人","你是啥人","你是誰","Miao Chiang Yen"
"114","lù-khah","lu3-khah","lù-khah","lu3-khah","鑢卡","鑢卡","刷卡","David Kang"
"115","chhit-hō-á","chhit-ho7-á","tshit-hō-á","tshit-ho7-á","七號仔","七號仔","7-11","匿名"
"116","phùi-that-á","phui3-that-á","phuì-that-á","phui3-that-á","屁窒仔","屁窒仔","小屁孩","匿名"
"117","Ang--ê góa ài--lí","Ang--e5 goa2 ai3--li2","Ang--ê guá ài--lí","Ang--e5 gua2 ai3--li2","翁的我愛你","翁的我愛你","老公我愛你","匿名"
"118","Thâu--ê góa ài--lí","Thau5--e5 goa2 ai3--li2","Thâu--ê guá ài--lí","Thau5--e5 gua2 ai3--li2","頭的我愛你","頭的我愛你","老公我愛你","匿名"
"119","Chúi-chheⁿ tò-thâu kiâⁿ","Chui2-chhenn to3-thau5 kiann5","Tsuí-tshenn tò-thâu kiânn","Tsui2-tshenn to3-thau5 kiann5","水星倒頭行","水星倒頭行","水星逆行","匿名"
"120","thún-ta̍h bîn-chú","thun2-tah8 bin5-chu2","thún-ta̍h bîn-tsú","thun2-tah8 bin5-tsu2","𧿬踏民主","𧿬踏民主","踐踏民主","匿名"
"121","Góa kiōng-beh bē-hù--ah","Goa2 kiong7-beh be7-hu3--ah","Guá kiōng-beh bē-hù--ah","Gua2 kiong7-beh be7-hu3--ah","我強欲袂赴矣","我強欲袂赴矣","我快要遲到了","Vito Chang"
"122","Góa teh-beh/teh-boeh bē-hù/bōe-hù--ah","Goa2 teh-beh/teh-boeh be7-hu3/boe7-hu3--ah","Guá teh-beh/teh-bueh bē-hù/buē-hù--ah","Gua2 teh-beh/teh-bueh be7-hu3/bue7-hu3--ah","我咧欲袂赴矣","我咧欲袂赴矣","我快要遲到了","匿名"
"123","au-bú","au-bu2","au-bú","au-bu2","後母","後母","二媽","匿名"
"124","chúi-chheⁿ ge̍k-hêng/chúi-chhiⁿ ge̍k-hêng","chui2-chhenn gek8-heng5/chui2-chhinn gek8-heng5","tsuí-tshenn gi̍k-hîng/tsuí-tshinn gi̍k-hîng","tsui2-tshenn gik8-hing5/tsui2-tshinn gik8-hing5","水星逆行","水星逆行","水逆","莊銘彥"
"125","sāi-thái","sai7-thai2","sāi-thái","sai7-thai2","撒體","撒體","鬧彆扭","莊銘彥"
"126","tiàu-khò͘","tiau3-khoo3","tiàu-khòo","tiau3-khoo3","吊褲","吊褲","吊帶褲","Liz Lin"
"127","tiān-sī-tâi","tian7-si7-tai5","tiān-sī-tâi","tian7-si7-tai5","電視台","電視台","電視台","匿名"
"128","khàu-pē-khàu-bú","khau3-pe7-khau3-bu2","khàu-pē-khàu-bú","khau3-pe7-khau3-bu2","哭爸哭母","哭爸哭母","靠夭","匿名"
"129","pó-kè-bōng","po2-ke3-bong7","pó-kè-bōng","po2-ke3-bong7","寶價望","寶價望","寶可夢","費加洛"
"130","chúi-ah-chhia","chui2-ah-chhia","tsuí-ah-tshia","tsui2-ah-tshia","水鴨車","水鴨車","水陸觀光車","費加洛"
"131","án-chóaⁿ kóng/án-ná-kóng","an2-choann2 kong2/an2-na2-kong2","án-tsuánn kóng/án-ná-kóng","an2-tsuann2 kong2/an2-na2-kong2","按怎講","按怎講","怎麼說","David Kang"
"132","liông-kut","liong5-kut","liông-kut","liong5-kut","龍骨","龍骨","脊髓","匿名"
"133","chhit--á","chhit--á","tshit--á","tshit--á","七仔","七仔","7-11","匿名"
"134","chhè-siong","chhe3-siong","tshè-siong","tshe3-siong","摖傷","摖傷","擦傷","匿名"
"135","chhòng siáⁿ","chhong3 siann2","tshòng siánn","tshong3 siann2","創啥","創啥","幹什麼","匿名"
"136","kâu-thâu-kó","kau5-thau5-ko2","kâu-thâu-kó","kau5-thau5-ko2","猴頭果","猴頭果","奇異果","匿名"
"137","sńg-chúi","sng2-chui2","sńg-tsuí","sng2-tsui2","耍水","耍水","玩水","匿名"
"138","tòng-làu-sái-io̍h","tong3-lau3-sai2-ioh8","tòng-làu-sái-io̍h","tong3-lau3-sai2-ioh8","擋落屎藥","擋落屎藥","止瀉劑","匿名"
"139","Sîn-keng thiàⁿ","Sin5-keng thiann3","Sîn-king thiànn","Sin5-king thiann3","神經疼","神經疼","神經痛","匿名"
"140","o͘-sái","oo-sai2","oo-sái","oo-sai2","烏屎","烏屎","黑便","匿名"
"141","lí-lō͘","li2-loo7","lí-lōo","li2-loo7","理路","理路","邏輯","匿名"
"142","khà-chhiú-ki-á","kha3-chhiu2-ki-á","khà-tshiú-ki-á","kha3-tshiu2-ki-á","敲手機仔","敲手機仔","打手機","匿名"
"143","Tò͘-tīn-te̍k-kong","Too3-tin7-tek8-kong","Tòo-tīn-ti̍k-kong","Too3-tin7-tik8-kong","鬥陣特攻","鬥陣特攻","鬥陣特攻","匿名"
"144","mô͘-siū-cheng-pà","moo5-siu7-cheng-pa3","môo-siū-tsing-pà","moo5-siu7-tsing-pa3","魔獸爭霸","魔獸爭霸","魔獸爭霸","匿名"
"145","tông-sèng-loân","tong5-seng3-loan5","tông-sìng-luân","tong5-sing3-luan5","同性戀","同性戀","同性戀","匿名"
"146","ba̍k-chiah-mn̂g-giap-á","bak8-chiah-mng5-giap-á","ba̍k-tsiah-mn̂g-giap-á","bak8-tsiah-mng5-giap-á","目睫毛鋏仔","目睫毛鋏仔","睫毛夾","匿名"
"147","kóng chi̍t-ê pì-koat","kong2 chit8-e5 pi3-koat","kóng tsi̍t-ê pì-kuat","kong2 tsit8-e5 pi3-kuat","講一个祕訣","講一个祕訣","講個秘訣","匿名"
"148","lâu-ōe","lau5-oe7","lâu-uē","lau5-ue7","留話","留話","留言","匿名"
"149","bīn-chheh","bin7-chheh","bīn-tsheh","bin7-tsheh","面冊","面冊","facebook","匿名"
"150","lah-sap-ōe","lah-sap-oe7","lah-sap-uē","lah-sap-ue7","垃圾話","垃圾話","粗口","匿名"
"151","hah Hân","hah Han5","hah Hân","hah Han5","哈韓","哈韓","哈韓","匿名"
"152","hah Ji̍t","hah Jit8","hah Ji̍t","hah Jit8","哈日","哈日","哈日","匿名"
"153","khóng-bêng-teng","khong2-beng5-teng","khóng-bîng-ting","khong2-bing5-ting","孔明燈","孔明燈","天燈","David Kang"
"154","súi-tang-tang","sui2-tang-tang","suí-tang-tang","sui2-tang-tang","媠噹噹","媠噹噹","漂亮","匿名"
"155","a-bêng","a-beng5","a-bîng","a-bing5","阿明","阿明","小明","匿名"
"156","kāng-sèng-loân","kang7-seng3-loan5","kāng-sìng-luân","kang7-sing3-luan5","仝性戀","仝性戀","同性戀","匿名"
"157","phî-khá-chiù","phi5-kha2-chiu3","phî-khá-tsiù","phi5-kha2-tsiu3","皮巧啾","皮巧啾","皮卡丘","游威力"
"158","lûn-pan-chheⁿ-jîn/lûn-pan-chhiⁿ-jîn","lun5-pan-chhenn-jin5/lun5-pan-chhinn-jin5","lûn-pan-tshenn-jîn/lûn-pan-tshinn-jîn","lun5-pan-tshenn-jin5/lun5-pan-tshinn-jin5","輪班星人","輪班星人","輪班星人","匿名"
"159","khiang-á","khiang-á","khiang-á","khiang-á","勍仔","勍仔","手腳不乾淨","Van  Lai"
"160","Ka-lo̍k-hok","Ka-lok8-hok","Ka-lo̍k-hok","Ka-lok8-hok","家樂福","家樂福","家樂福","匿名"
"161","po̍k-kiat-bōng","pok8-kiat-bong7","po̍k-kiat-bōng","pok8-kiat-bong7","爆吉夢","爆吉夢","寶可夢","匿名"
"162","phín-hēng","phin2-heng7","phín-hīng","phin2-hing7","品行","品行","品行","匿名"
"163","chìⁿ-khian-á","chinn3-khian-á","tsìnn-khian-á","tsinn3-khian-á","糋圈仔","糋圈仔","甜甜圈","匿名"
"164","sio̍k-hoe-lêng-ki","siok8-hoe-leng5-ki","sio̍k-hue-lîng-ki","siok8-hue-ling5-ki","俗飛行機","俗飛行機","廉航","匿名"
"165","súi-ko͘-niû","sui2-koo-niu5","suí-koo-niû","sui2-koo-niu5","媠姑娘","媠姑娘","正妹","匿名"
"166","siù-châi siù-châi khiâ bé lōng-lōng-lâi","siu3-chai5 siu3-chai5 khia5 be2 long7-long7-lai5","siù-tsâi siù-tsâi khiâ bé lōng-lōng-lâi","siu3-tsai5 siu3-tsai5 khia5 be2 long7-long7-lai5","秀才秀才騎馬弄弄來","秀才秀才騎馬弄弄來","書呆子","薛丞宏"
"167","ke-cheng-á/koe-cheng-á","ke-cheng-a2/koe-cheng-á","ke-tsing-á/kue-tsing-á","ke-tsing-a2/kue-tsing-á","雞鐘仔","雞鐘仔","鬧鐘","Van  Lai"
"168","bah-bâ","bah-ba5","bah-bâ","bah-ba5","肉麻","肉麻","肉麻","匿名"
"169","thô͘-pi-á","thoo5-pi-á","thôo-pi-á","thoo5-pi-á","塗觱仔","塗觱仔","陶笛","Seng-hian Lau"
"170","thô͘-pi-pu","thoo5-pi-pu","thôo-pi-pu","thoo5-pi-pu","塗觱哹","塗觱哹","陶笛","Seng-hian Lau"
"171","iáu-siū-kúi","iau2-siu7-kui2","iáu-siū-kuí","iau2-siu7-kui2","夭壽鬼","夭壽鬼","肉麻","Fu-Hsuan Ju"
"172","chhit-hō kám-á-tiàm","chhit-ho7 kam2-a2-tiam3","tshit-hō kám-á-tiàm","tshit-ho7 kam2-a2-tiam3","七號𥴊仔店","七號𥴊仔店","7-11","Lîm Tshong-bîng"
"173","chhài-thâu-kóe/chhài-thâu-ké","chhai3-thau5-koe2/chhai3-thau5-ke2","tshài-thâu-kué/tshài-thâu-ké","tshai3-thau5-kue2/tshai3-thau5-ke2","菜頭粿","菜頭粿","蘿蔔糕","薛丞宏"
"174","khí ke-bó-phôe/khí koe-bó-phê","khi2 ke-bo2-phoe5/khi2 koe-bo2-phe5","khí ke-bó-phuê/khí kue-bó-phê","khi2 ke-bo2-phue5/khi2 kue-bo2-phe5","起雞母皮","起雞母皮","肉麻","匿名"
"175","hoan-hoan","hoan-hoan","huan-huan","huan-huan","番番","番番","無理取鬧","匿名"
"176","bū-sà-sà","bu7-sa3-sa3","bū-sà-sà","bu7-sa3-sa3","霧嗄嗄","霧嗄嗄","不清楚","薛丞宏"
